T posX posY posZ vitX vitY vitZ accX accY accZ
1 0.000000 0.000000 3990.199951 0.000000 0.000000 -9.800000 0.000000 0.000000 -9.800000
2 0.000000 0.000000 3970.900146 0.000000 0.000000 -19.299875 0.000000 0.000000 -9.499875
3 0.000000 0.000000 3942.964355 0.000000 0.000000 -27.935860 0.000000 0.000000 -8.635984
4 0.000000 0.000000 3907.667236 0.000000 0.000000 -35.297073 0.000000 0.000000 -7.361212
5 0.000000 0.000000 3866.463623 0.000000 0.000000 -41.203690 0.000000 0.000000 -5.906614
6 0.000000 0.000000 3820.765381 0.000000 0.000000 -45.698238 0.000000 0.000000 -4.494550
7 0.000000 0.000000 3771.793213 0.000000 0.000000 -48.972210 0.000000 0.000000 -3.273972
8 0.000000 0.000000 3720.515625 0.000000 0.000000 -51.277592 0.000000 0.000000 -2.305383
9 0.000000 0.000000 3667.654785 0.000000 0.000000 -52.860744 0.000000 0.000000 -1.583152
10 0.000000 0.000000 3613.726074 0.000000 0.000000 -53.928688 0.000000 0.000000 -1.067943
11 0.000000 0.000000 3559.085938 0.000000 0.000000 -54.640240 0.000000 0.000000 -0.711552
12 0.000000 0.000000 3503.975586 0.000000 0.000000 -55.110378 0.000000 0.000000 -0.470138
13 0.000000 0.000000 3448.556396 0.000000 0.000000 -55.419273 0.000000 0.000000 -0.308894
14 0.000000 0.000000 3392.934814 0.000000 0.000000 -55.621475 0.000000 0.000000 -0.202200
15 0.000000 0.000000 3337.181396 0.000000 0.000000 -55.753510 0.000000 0.000000 -0.132036
16 0.000000 0.000000 3281.341797 0.000000 0.000000 -55.839592 0.000000 0.000000 -0.086082
17 0.000000 0.000000 3225.446045 0.000000 0.000000 -55.895653 0.000000 0.000000 -0.056062
18 0.000000 0.000000 3169.513916 0.000000 0.000000 -55.932140 0.000000 0.000000 -0.036488
19 0.000000 0.000000 3113.558105 0.000000 0.000000 -55.955875 0.000000 0.000000 -0.023737
20 0.000000 0.000000 3057.586914 0.000000 0.000000 -55.971313 0.000000 0.000000 -0.015437
21 0.000000 0.000000 3001.605469 0.000000 0.000000 -55.981350 0.000000 0.000000 -0.010038
22 0.000000 0.000000 2945.617676 0.000000 0.000000 -55.987877 0.000000 0.000000 -0.006526
23 0.000000 0.000000 2889.625488 0.000000 0.000000 -55.992119 0.000000 0.000000 -0.004243
24 0.000000 0.000000 2833.630615 0.000000 0.000000 -55.994877 0.000000 0.000000 -0.002758
25 0.000000 0.000000 2777.634033 0.000000 0.000000 -55.996670 0.000000 0.000000 -0.001793
26 0.000000 0.000000 2721.636230 0.000000 0.000000 -55.997837 0.000000 0.000000 -0.001166
27 0.000000 0.000000 2665.637695 0.000000 0.000000 -55.998592 0.000000 0.000000 -0.000757
28 0.000000 0.000000 2609.638672 0.000000 0.000000 -55.999084 0.000000 0.000000 -0.000493
29 0.000000 0.000000 2553.639160 0.000000 0.000000 -55.999405 0.000000 0.000000 -0.000320
30 0.000000 0.000000 2497.639648 0.000000 0.000000 -55.999615 0.000000 0.000000 -0.000208
31 0.000000 0.000000 2441.639893 0.000000 0.000000 -55.999748 0.000000 0.000000 -0.000135
32 0.000000 0.000000 2385.640137 0.000000 0.000000 -55.999836 0.000000 0.000000 -0.000088
33 0.000000 0.000000 2329.640137 0.000000 0.000000 -55.999893 0.000000 0.000000 -0.000057
34 0.000000 0.000000 2273.640137 0.000000 0.000000 -55.999931 0.000000 0.000000 -0.000037
35 0.000000 0.000000 2217.640137 0.000000 0.000000 -55.999954 0.000000 0.000000 -0.000024
36 0.000000 0.000000 2161.640137 0.000000 0.000000 -55.999969 0.000000 0.000000 -0.000016
37 0.000000 0.000000 2105.640137 0.000000 0.000000 -55.999981 0.000000 0.000000 -0.000011
38 0.000000 0.000000 2049.640137 0.000000 0.000000 -55.999989 0.000000 0.000000 -0.000007
39 0.000000 0.000000 1993.640137 0.000000 0.000000 -55.999992 0.000000 0.000000 -0.000004
40 0.000000 0.000000 1937.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
41 0.000000 0.000000 1881.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
42 0.000000 0.000000 1825.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
43 0.000000 0.000000 1769.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
44 0.000000 0.000000 1713.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
45 0.000000 0.000000 1657.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
46 0.000000 0.000000 1601.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
47 0.000000 0.000000 1545.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
48 0.000000 0.000000 1489.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
49 0.000000 0.000000 1433.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
50 0.000000 0.000000 1377.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
51 0.000000 0.000000 1321.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
52 0.000000 0.000000 1265.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
53 0.000000 0.000000 1209.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
54 0.000000 0.000000 1153.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
55 0.000000 0.000000 1097.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
56 0.000000 0.000000 1041.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
57 0.000000 0.000000 985.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
58 0.000000 0.000000 929.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
59 0.000000 0.000000 873.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
60 0.000000 0.000000 817.640137 0.000000 0.000000 -55.999996 0.000000 0.000000 -0.000002
